example_id                                       | status  | run_time        |
./spec/requests/categories_spec.rb[1:2:1:2]      | passed  | 0.53019 seconds |
./spec/requests/categories_spec.rb[1:2:2:1]      | passed  | 0.53063 seconds |
./spec/requests/categories_spec.rb[1:3:1]        | passed  | 0.53173 seconds |
./spec/requests/categories_spec.rb[1:3:2]        | passed  | 0.52777 seconds |
./spec/requests/components_spec.rb[1:1:1:1]      | passed  | 0.54489 seconds |
./spec/requests/components_spec.rb[1:1:1:2]      | passed  | 0.56723 seconds |
./spec/requests/components_spec.rb[1:1:2:1]      | passed  | 0.51199 seconds |
./spec/requests/components_spec.rb[1:1:2:2]      | passed  | 0.51348 seconds |
./spec/requests/components_spec.rb[1:2:1:1]      | passed  | 0.60975 seconds |
./spec/requests/components_spec.rb[1:2:1:2]      | passed  | 0.59731 seconds |
./spec/requests/components_spec.rb[1:2:2:1]      | passed  | 0.57755 seconds |
./spec/requests/components_spec.rb[1:3:1]        | passed  | 0.58074 seconds |
./spec/requests/components_spec.rb[1:3:2]        | passed  | 0.57953 seconds |
./spec/requests/items_spec.rb[1:1:1:1]           | passed  | 0.55734 seconds |
./spec/requests/items_spec.rb[1:1:1:2]           | passed  | 0.60493 seconds |
./spec/requests/items_spec.rb[1:1:2:1]           | passed  | 0.53 seconds    |
./spec/requests/items_spec.rb[1:1:2:2]           | passed  | 0.5401 seconds  |
./spec/requests/items_spec.rb[1:2:1:1]           | passed  | 0.55245 seconds |
./spec/requests/items_spec.rb[1:2:1:2]           | passed  | 0.56349 seconds |
./spec/requests/items_spec.rb[1:2:2:1]           | passed  | 0.55513 seconds |
./spec/requests/items_spec.rb[1:3:1]             | passed  | 0.60424 seconds |
./spec/requests/items_spec.rb[1:3:2]             | passed  | 0.57287 seconds |
./spec/requests/ldap_spec.rb[1:1:1]              | pending | 0.00001 seconds |
./spec/requests/reports_spec.rb[1:1:1]           | pending | 0.00001 seconds |
./spec/requests/settings_spec.rb[1:1:1]          | pending | 0.00001 seconds |
./spec/requests/status_labels_spec.rb[1:1:1]     | pending | 0.00001 seconds |
./spec/requests/tickets_spec.rb[1:1:1]           | passed  | 0.64255 seconds |
./spec/requests/tickets_spec.rb[1:2:1]           | passed  | 0.55791 seconds |
./spec/requests/tickets_spec.rb[1:3:1]           | passed  | 0.64413 seconds |
./spec/requests/tickets_spec.rb[1:4:1]           | passed  | 0.63705 seconds |
./spec/requests/tickets_spec.rb[1:5:1:1]         | passed  | 0.51988 seconds |
./spec/requests/tickets_spec.rb[1:5:1:2]         | passed  | 0.53281 seconds |
./spec/requests/tickets_spec.rb[1:5:2:1]         | passed  | 0.51436 seconds |
./spec/requests/tickets_spec.rb[1:5:2:2]         | passed  | 0.53081 seconds |
./spec/requests/tickets_spec.rb[1:6:1:1]         | passed  | 0.62306 seconds |
./spec/requests/tickets_spec.rb[1:6:1:2]         | passed  | 0.52663 seconds |
./spec/requests/tickets_spec.rb[1:6:2:1]         | passed  | 0.53216 seconds |
./spec/requests/tickets_spec.rb[1:7:1]           | passed  | 0.54437 seconds |
./spec/requests/tickets_spec.rb[1:7:2]           | passed  | 0.52465 seconds |
./spec/requests/users_spec.rb[1:1:1:1]           | passed  | 0.66755 seconds |
./spec/requests/users_spec.rb[1:1:2:1]           | passed  | 0.60784 seconds |
./spec/requests/users_spec.rb[1:1:3:1]           | passed  | 0.7804 seconds  |
./spec/requests/users_spec.rb[1:2:1:1]           | passed  | 0.57347 seconds |
./spec/services/ldap_sync_spec.rb[1:1:1]         | pending | 0.00001 seconds |
